,bus,p_nom,type,control,weather_cell_id,subtype,voltage_level,id,subst_id,la_id,geom,mvlv_subst_id,geom_em,p
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_749953,BranchTee_mvgd_1056_lvgd_97255_46,0.021275,solar,PQ,1130085.0,solar_roof_mounted,lv,749953.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_749995,BranchTee_mvgd_1056_lvgd_97255_40,0.00816,solar,PQ,1130085.0,solar_roof_mounted,lv,749995.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750035,BranchTee_mvgd_1056_lvgd_97255_2,0.0414,solar,PQ,1130085.0,solar_roof_mounted,lv,750035.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750176,BranchTee_mvgd_1056_lvgd_97255_30,0.00575,solar,PQ,1130085.0,solar_roof_mounted,lv,750176.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750212,BranchTee_mvgd_1056_lvgd_97255_20,0.0048,solar,PQ,1130085.0,solar_roof_mounted,lv,750212.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750233,BranchTee_mvgd_1056_lvgd_97255_74,0.0050999999999999,solar,PQ,1130085.0,solar_roof_mounted,lv,750233.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750238,BranchTee_mvgd_1056_lvgd_97255_44,0.02352,solar,PQ,1130085.0,solar_roof_mounted,lv,750238.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750258,BranchTee_mvgd_1056_lvgd_97255_6,0.007975,solar,PQ,1130085.0,solar_roof_mounted,lv,750258.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_750264,BranchTee_mvgd_1056_lvgd_97255_42,0.0088,solar,PQ,1130085.0,solar_roof_mounted,lv,750264.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_752432,BranchTee_mvgd_1056_lvgd_97255_10,0.01563,solar,PQ,1130085.0,solar_roof_mounted,lv,752432.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_752471,BranchTee_mvgd_1056_lvgd_97255_14,0.01332,solar,PQ,1130085.0,solar_roof_mounted,lv,752471.0,,,,,,
Generator_mvgd_1056_lvgd_97255_solar_roof_mounted_752479,Bus_mvgd_1056_lvgd_97255_gen_752479,0.27605,solar,PQ,1130085.0,solar_roof_mounted,lv,752479.0,,,,,,
