,bus,control,p_nom,max_hours,voltage_level
StorageUnit_LVGrid_97722_5,BusBar_mvgd_1056_lvgd_97722_LV,PQ,0.0326199999999999,1,lv
StorageUnit_LVGrid_97722_6,BranchTee_mvgd_1056_lvgd_97722_256,PQ,0.02484,1,lv
StorageUnit_LVGrid_97722_7,BranchTee_mvgd_1056_lvgd_97722_214,PQ,0.00784,1,lv
StorageUnit_LVGrid_97722_8,BranchTee_mvgd_1056_lvgd_97722_60,PQ,0.00651,1,lv
StorageUnit_LVGrid_97723_1,BranchTee_mvgd_1056_lvgd_97723_6,PQ,0.0425,1,lv
StorageUnit_LVGrid_97723_2,BranchTee_mvgd_1056_lvgd_97723_88,PQ,0.0033599999999999,1,lv
StorageUnit_LVGrid_97723_3,BranchTee_mvgd_1056_lvgd_97723_108,PQ,0.03,1,lv
StorageUnit_LVGrid_97723_4,BranchTee_mvgd_1056_lvgd_97723_74,PQ,0.007215,1,lv
StorageUnit_LVGrid_97723_5,BranchTee_mvgd_1056_lvgd_97723_66,PQ,0.0219299999999999,1,lv
StorageUnit_LVGrid_97723_6,BranchTee_mvgd_1056_lvgd_97723_76,PQ,0.012,1,lv
StorageUnit_LVGrid_97723_7,BranchTee_mvgd_1056_lvgd_97723_16,PQ,0.0194699999999999,1,lv
StorageUnit_LVGrid_97723_8,BranchTee_mvgd_1056_lvgd_97723_12,PQ,0.0072,1,lv
StorageUnit_LVGrid_97723_9,BranchTee_mvgd_1056_lvgd_97723_116,PQ,0.0101199999999999,1,lv
StorageUnit_LVGrid_97723_10,BranchTee_mvgd_1056_lvgd_97723_92,PQ,0.0075899999999999,1,lv
StorageUnit_LVGrid_97723_11,BranchTee_mvgd_1056_lvgd_97723_40,PQ,0.00594,1,lv
StorageUnit_LVGrid_97724_1,BranchTee_mvgd_1056_lvgd_97724_10,PQ,0.00645,1,lv
StorageUnit_LVGrid_97724_2,BranchTee_mvgd_1056_lvgd_97724_34,PQ,0.00567,1,lv
StorageUnit_LVGrid_97724_3,BranchTee_mvgd_1056_lvgd_97724_30,PQ,0.00792,1,lv
StorageUnit_LVGrid_97724_4,BranchTee_mvgd_1056_lvgd_97724_24,PQ,0.0153,1,lv
StorageUnit_LVGrid_97724_5,BranchTee_mvgd_1056_lvgd_97724_20,PQ,0.01943,1,lv
StorageUnit_LVGrid_97724_6,BranchTee_mvgd_1056_lvgd_97724_14,PQ,0.0108,1,lv
StorageUnit_LVGrid_97724_7,BranchTee_mvgd_1056_lvgd_97724_36,PQ,0.00473,1,lv
StorageUnit_LVGrid_97724_8,BranchTee_mvgd_1056_lvgd_97724_26,PQ,0.003375,1,lv
StorageUnit_LVGrid_97724_9,BranchTee_mvgd_1056_lvgd_97724_18,PQ,0.01025,1,lv
StorageUnit_LVGrid_97725_1,BranchTee_mvgd_1056_lvgd_97725_94,PQ,0.0084,1,lv
StorageUnit_LVGrid_97725_2,BranchTee_mvgd_1056_lvgd_97725_2,PQ,0.09984,1,lv
StorageUnit_LVGrid_97725_3,BranchTee_mvgd_1056_lvgd_97725_172,PQ,0.00833,1,lv
StorageUnit_LVGrid_97725_4,BranchTee_mvgd_1056_lvgd_97725_30,PQ,0.0064,1,lv
StorageUnit_LVGrid_97725_5,BranchTee_mvgd_1056_lvgd_97725_112,PQ,0.01088,1,lv
StorageUnit_LVGrid_97725_6,BranchTee_mvgd_1056_lvgd_97725_40,PQ,0.0032,1,lv
StorageUnit_LVGrid_97725_7,BranchTee_mvgd_1056_lvgd_97725_20,PQ,0.02175,1,lv
StorageUnit_LVGrid_97726_1,BranchTee_mvgd_1056_lvgd_97726_76,PQ,0.002,1,lv
StorageUnit_LVGrid_97726_2,BranchTee_mvgd_1056_lvgd_97726_60,PQ,0.0098,1,lv
StorageUnit_LVGrid_97726_3,BranchTee_mvgd_1056_lvgd_97726_2,PQ,0.007905,1,lv
StorageUnit_LVGrid_97726_4,BranchTee_mvgd_1056_lvgd_97726_14,PQ,0.0105,1,lv
StorageUnit_LVGrid_97726_5,BranchTee_mvgd_1056_lvgd_97726_38,PQ,0.00858,1,lv
StorageUnit_LVGrid_97726_6,BranchTee_mvgd_1056_lvgd_97726_4,PQ,0.0063,1,lv
StorageUnit_LVGrid_97726_7,BranchTee_mvgd_1056_lvgd_97726_128,PQ,0.00977,1,lv
StorageUnit_LVGrid_97726_8,BranchTee_mvgd_1056_lvgd_97726_72,PQ,0.0099499999999999,1,lv
StorageUnit_LVGrid_97726_9,BranchTee_mvgd_1056_lvgd_97726_132,PQ,0.0114749999999999,1,lv
StorageUnit_LVGrid_97726_10,BranchTee_mvgd_1056_lvgd_97726_106,PQ,0.0055,1,lv
StorageUnit_LVGrid_97726_11,BranchTee_mvgd_1056_lvgd_97726_68,PQ,0.0297,1,lv
StorageUnit_LVGrid_97726_12,BranchTee_mvgd_1056_lvgd_97726_28,PQ,0.01023,1,lv
StorageUnit_LVGrid_97726_13,BranchTee_mvgd_1056_lvgd_97726_94,PQ,0.0088,1,lv
StorageUnit_LVGrid_97727_1,BranchTee_mvgd_1056_lvgd_97727_52,PQ,0.0280799999999999,1,lv
StorageUnit_LVGrid_97727_2,BranchTee_mvgd_1056_lvgd_97727_4,PQ,0.03375,1,lv
StorageUnit_LVGrid_97727_3,BranchTee_mvgd_1056_lvgd_97727_42,PQ,0.02233,1,lv
StorageUnit_LVGrid_97727_4,BranchTee_mvgd_1056_lvgd_97727_22,PQ,0.00736,1,lv
StorageUnit_LVGrid_97727_5,BranchTee_mvgd_1056_lvgd_97727_44,PQ,0.01656,1,lv
StorageUnit_LVGrid_97727_6,BranchTee_mvgd_1056_lvgd_97727_54,PQ,0.006,1,lv
StorageUnit_LVGrid_97728_1,BranchTee_mvgd_1056_lvgd_97728_16,PQ,0.0250799999999999,1,lv
StorageUnit_LVGrid_97728_2,BranchTee_mvgd_1056_lvgd_97728_72,PQ,0.00429,1,lv
StorageUnit_LVGrid_97728_3,BranchTee_mvgd_1056_lvgd_97728_86,PQ,0.00646,1,lv
StorageUnit_LVGrid_97728_4,BranchTee_mvgd_1056_lvgd_97728_20,PQ,0.013875,1,lv
StorageUnit_LVGrid_97728_5,BranchTee_mvgd_1056_lvgd_97728_6,PQ,0.02985,1,lv
StorageUnit_LVGrid_97728_6,BranchTee_mvgd_1056_lvgd_97728_198,PQ,0.0282,1,lv
StorageUnit_LVGrid_97728_7,BranchTee_mvgd_1056_lvgd_97728_2,PQ,0.0312,1,lv
StorageUnit_LVGrid_97728_8,BranchTee_mvgd_1056_lvgd_97728_156,PQ,0.009675,1,lv
StorageUnit_LVGrid_97728_9,BranchTee_mvgd_1056_lvgd_97728_216,PQ,0.00595,1,lv
StorageUnit_LVGrid_97728_10,BranchTee_mvgd_1056_lvgd_97728_164,PQ,0.0126,1,lv
StorageUnit_LVGrid_97728_11,BranchTee_mvgd_1056_lvgd_97728_144,PQ,0.01188,1,lv
StorageUnit_LVGrid_97728_12,BranchTee_mvgd_1056_lvgd_97728_148,PQ,0.01175,1,lv
StorageUnit_LVGrid_97729_1,BranchTee_mvgd_1056_lvgd_97729_76,PQ,0.02028,1,lv
StorageUnit_LVGrid_97729_2,BranchTee_mvgd_1056_lvgd_97729_2,PQ,0.00645,1,lv
StorageUnit_LVGrid_97729_3,BranchTee_mvgd_1056_lvgd_97729_112,PQ,0.01225,1,lv
StorageUnit_LVGrid_97729_4,BranchTee_mvgd_1056_lvgd_97729_4,PQ,0.027,1,lv
StorageUnit_LVGrid_97729_5,BranchTee_mvgd_1056_lvgd_97729_38,PQ,0.0076799999999999,1,lv
StorageUnit_LVGrid_97730_1,BranchTee_mvgd_1056_lvgd_97730_12,PQ,0.01826,1,lv
StorageUnit_LVGrid_97730_2,BranchTee_mvgd_1056_lvgd_97730_10,PQ,0.00552,1,lv
StorageUnit_LVGrid_97730_3,BusBar_mvgd_1056_lvgd_97730_LV,PQ,0.03204,1,lv
StorageUnit_LVGrid_97730_4,BusBar_mvgd_1056_lvgd_97730_LV,PQ,0.04089,1,lv
StorageUnit_LVGrid_97730_5,BusBar_mvgd_1056_lvgd_97730_LV,PQ,0.03023,1,lv
StorageUnit_LVGrid_97730_6,BranchTee_mvgd_1056_lvgd_97730_6,PQ,0.0166499999999999,1,lv
StorageUnit_LVGrid_97730_7,BranchTee_mvgd_1056_lvgd_97730_8,PQ,0.01976,1,lv
StorageUnit_LVGrid_97730_8,BranchTee_mvgd_1056_lvgd_97730_4,PQ,0.01728,1,lv
StorageUnit_LVGrid_97730_9,BranchTee_mvgd_1056_lvgd_97730_12,PQ,0.0042,1,lv
StorageUnit_LVGrid_97730_10,BranchTee_mvgd_1056_lvgd_97730_8,PQ,0.02736,1,lv
StorageUnit_LVGrid_97730_11,BranchTee_mvgd_1056_lvgd_97730_10,PQ,0.00782,1,lv
StorageUnit_LVGrid_97730_12,BranchTee_mvgd_1056_lvgd_97730_2,PQ,0.0075899999999999,1,lv
StorageUnit_LVGrid_97731_1,BranchTee_mvgd_1056_lvgd_97731_104,PQ,0.00962,1,lv
StorageUnit_LVGrid_97731_2,BranchTee_mvgd_1056_lvgd_97731_66,PQ,0.029845,1,lv
StorageUnit_LVGrid_97731_3,BranchTee_mvgd_1056_lvgd_97731_80,PQ,0.01078,1,lv
StorageUnit_LVGrid_97731_4,BranchTee_mvgd_1056_lvgd_97731_2,PQ,0.00399,1,lv
StorageUnit_LVGrid_97731_5,BranchTee_mvgd_1056_lvgd_97731_54,PQ,0.01,1,lv
StorageUnit_LVGrid_97732_1,BranchTee_mvgd_1056_lvgd_97732_74,PQ,0.0032,1,lv
StorageUnit_LVGrid_97732_2,BranchTee_mvgd_1056_lvgd_97732_150,PQ,0.03,1,lv
StorageUnit_LVGrid_97732_3,BranchTee_mvgd_1056_lvgd_97732_234,PQ,0.00989,1,lv
StorageUnit_LVGrid_97732_4,BranchTee_mvgd_1056_lvgd_97732_130,PQ,0.0052,1,lv
StorageUnit_LVGrid_97732_5,BranchTee_mvgd_1056_lvgd_97732_256,PQ,0.0038399999999999,1,lv
StorageUnit_LVGrid_97733_1,BranchTee_mvgd_1056_lvgd_97733_2,PQ,0.00936,1,lv
StorageUnit_LVGrid_97733_2,BranchTee_mvgd_1056_lvgd_97733_12,PQ,0.00272,1,lv
StorageUnit_LVGrid_97733_3,BranchTee_mvgd_1056_lvgd_97733_60,PQ,0.01848,1,lv
StorageUnit_LVGrid_97733_4,BranchTee_mvgd_1056_lvgd_97733_28,PQ,0.0190399999999999,1,lv
StorageUnit_LVGrid_97733_5,BranchTee_mvgd_1056_lvgd_97733_76,PQ,0.02842,1,lv
StorageUnit_LVGrid_97733_6,BranchTee_mvgd_1056_lvgd_97733_90,PQ,0.01755,1,lv
StorageUnit_LVGrid_97733_7,BranchTee_mvgd_1056_lvgd_97733_124,PQ,0.01372,1,lv
StorageUnit_LVGrid_97733_8,BranchTee_mvgd_1056_lvgd_97733_78,PQ,0.01224,1,lv
StorageUnit_LVGrid_97734_1,BranchTee_mvgd_1056_lvgd_97734_86,PQ,0.0011,1,lv
StorageUnit_LVGrid_97734_2,BranchTee_mvgd_1056_lvgd_97734_2,PQ,0.002145,1,lv
StorageUnit_LVGrid_97734_3,BranchTee_mvgd_1056_lvgd_97734_28,PQ,0.01584,1,lv
StorageUnit_LVGrid_97734_4,BranchTee_mvgd_1056_lvgd_97734_106,PQ,0.02002,1,lv
StorageUnit_LVGrid_97734_5,BranchTee_mvgd_1056_lvgd_97734_60,PQ,0.027,1,lv
StorageUnit_LVGrid_97734_6,BranchTee_mvgd_1056_lvgd_97734_126,PQ,0.01998,1,lv
StorageUnit_LVGrid_97734_7,BranchTee_mvgd_1056_lvgd_97734_122,PQ,0.0074,1,lv
StorageUnit_LVGrid_97734_8,BranchTee_mvgd_1056_lvgd_97734_116,PQ,0.0242399999999999,1,lv
StorageUnit_LVGrid_97734_9,BranchTee_mvgd_1056_lvgd_97734_76,PQ,0.00792,1,lv
StorageUnit_LVGrid_97734_10,BranchTee_mvgd_1056_lvgd_97734_58,PQ,0.0148,1,lv
