,bus0,bus1,length,x,r,b,s_nom,num_parallel,type_info,kind
Branch_LVCableDist_mvgd_1056_lvgd_109035_37_LVCableDist_mvgd_1056_lvgd_109035_39,BranchTee_mvgd_1056_lvgd_109035_37,BranchTee_mvgd_1056_lvgd_109035_39,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_39_LVCableDist_mvgd_1056_lvgd_109035_40,BranchTee_mvgd_1056_lvgd_109035_39,BranchTee_mvgd_1056_lvgd_109035_40,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_39_LVCableDist_mvgd_1056_lvgd_109035_41,BranchTee_mvgd_1056_lvgd_109035_39,BranchTee_mvgd_1056_lvgd_109035_41,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_3_LVCableDist_mvgd_1056_lvgd_109035_4,BranchTee_mvgd_1056_lvgd_109035_3,BranchTee_mvgd_1056_lvgd_109035_4,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_3_LVCableDist_mvgd_1056_lvgd_109035_5,BranchTee_mvgd_1056_lvgd_109035_3,BranchTee_mvgd_1056_lvgd_109035_5,0.06,0.0048254863159139,0.0098399999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_41_LVCableDist_mvgd_1056_lvgd_109035_42,BranchTee_mvgd_1056_lvgd_109035_41,BranchTee_mvgd_1056_lvgd_109035_42,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_41_LVCableDist_mvgd_1056_lvgd_109035_43,BranchTee_mvgd_1056_lvgd_109035_41,BranchTee_mvgd_1056_lvgd_109035_43,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_43_LVCableDist_mvgd_1056_lvgd_109035_44,BranchTee_mvgd_1056_lvgd_109035_43,BranchTee_mvgd_1056_lvgd_109035_44,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_43_LVCableDist_mvgd_1056_lvgd_109035_45,BranchTee_mvgd_1056_lvgd_109035_43,BranchTee_mvgd_1056_lvgd_109035_45,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_45_LVCableDist_mvgd_1056_lvgd_109035_46,BranchTee_mvgd_1056_lvgd_109035_45,BranchTee_mvgd_1056_lvgd_109035_46,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_45_LVCableDist_mvgd_1056_lvgd_109035_47,BranchTee_mvgd_1056_lvgd_109035_45,BranchTee_mvgd_1056_lvgd_109035_47,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_47_LVCableDist_mvgd_1056_lvgd_109035_48,BranchTee_mvgd_1056_lvgd_109035_47,BranchTee_mvgd_1056_lvgd_109035_48,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_47_LVCableDist_mvgd_1056_lvgd_109035_49,BranchTee_mvgd_1056_lvgd_109035_47,BranchTee_mvgd_1056_lvgd_109035_49,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_49_LVCableDist_mvgd_1056_lvgd_109035_50,BranchTee_mvgd_1056_lvgd_109035_49,BranchTee_mvgd_1056_lvgd_109035_50,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_49_LVCableDist_mvgd_1056_lvgd_109035_51,BranchTee_mvgd_1056_lvgd_109035_49,BranchTee_mvgd_1056_lvgd_109035_51,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_51_LVCableDist_mvgd_1056_lvgd_109035_52,BranchTee_mvgd_1056_lvgd_109035_51,BranchTee_mvgd_1056_lvgd_109035_52,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_51_LVCableDist_mvgd_1056_lvgd_109035_53,BranchTee_mvgd_1056_lvgd_109035_51,BranchTee_mvgd_1056_lvgd_109035_53,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_53_LVCableDist_mvgd_1056_lvgd_109035_54,BranchTee_mvgd_1056_lvgd_109035_53,BranchTee_mvgd_1056_lvgd_109035_54,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_53_LVCableDist_mvgd_1056_lvgd_109035_55,BranchTee_mvgd_1056_lvgd_109035_53,BranchTee_mvgd_1056_lvgd_109035_55,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_55_LVCableDist_mvgd_1056_lvgd_109035_56,BranchTee_mvgd_1056_lvgd_109035_55,BranchTee_mvgd_1056_lvgd_109035_56,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_55_LVCableDist_mvgd_1056_lvgd_109035_57,BranchTee_mvgd_1056_lvgd_109035_55,BranchTee_mvgd_1056_lvgd_109035_57,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_57_LVCableDist_mvgd_1056_lvgd_109035_58,BranchTee_mvgd_1056_lvgd_109035_57,BranchTee_mvgd_1056_lvgd_109035_58,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_57_LVCableDist_mvgd_1056_lvgd_109035_59,BranchTee_mvgd_1056_lvgd_109035_57,BranchTee_mvgd_1056_lvgd_109035_59,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_59_LVCableDist_mvgd_1056_lvgd_109035_60,BranchTee_mvgd_1056_lvgd_109035_59,BranchTee_mvgd_1056_lvgd_109035_60,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_59_LVCableDist_mvgd_1056_lvgd_109035_61,BranchTee_mvgd_1056_lvgd_109035_59,BranchTee_mvgd_1056_lvgd_109035_61,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_5_LVCableDist_mvgd_1056_lvgd_109035_6,BranchTee_mvgd_1056_lvgd_109035_5,BranchTee_mvgd_1056_lvgd_109035_6,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_5_LVCableDist_mvgd_1056_lvgd_109035_7,BranchTee_mvgd_1056_lvgd_109035_5,BranchTee_mvgd_1056_lvgd_109035_7,0.06,0.0048254863159139,0.0098399999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_61_LVCableDist_mvgd_1056_lvgd_109035_62,BranchTee_mvgd_1056_lvgd_109035_61,BranchTee_mvgd_1056_lvgd_109035_62,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_61_LVCableDist_mvgd_1056_lvgd_109035_63,BranchTee_mvgd_1056_lvgd_109035_61,BranchTee_mvgd_1056_lvgd_109035_63,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_63_LVCableDist_mvgd_1056_lvgd_109035_64,BranchTee_mvgd_1056_lvgd_109035_63,BranchTee_mvgd_1056_lvgd_109035_64,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_63_LVCableDist_mvgd_1056_lvgd_109035_65,BranchTee_mvgd_1056_lvgd_109035_63,BranchTee_mvgd_1056_lvgd_109035_65,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_65_LVCableDist_mvgd_1056_lvgd_109035_66,BranchTee_mvgd_1056_lvgd_109035_65,BranchTee_mvgd_1056_lvgd_109035_66,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_65_LVCableDist_mvgd_1056_lvgd_109035_67,BranchTee_mvgd_1056_lvgd_109035_65,BranchTee_mvgd_1056_lvgd_109035_67,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_67_LVCableDist_mvgd_1056_lvgd_109035_68,BranchTee_mvgd_1056_lvgd_109035_67,BranchTee_mvgd_1056_lvgd_109035_68,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_67_LVCableDist_mvgd_1056_lvgd_109035_69,BranchTee_mvgd_1056_lvgd_109035_67,BranchTee_mvgd_1056_lvgd_109035_69,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_69_LVCableDist_mvgd_1056_lvgd_109035_70,BranchTee_mvgd_1056_lvgd_109035_69,BranchTee_mvgd_1056_lvgd_109035_70,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_69_LVCableDist_mvgd_1056_lvgd_109035_71,BranchTee_mvgd_1056_lvgd_109035_69,BranchTee_mvgd_1056_lvgd_109035_71,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_71_LVCableDist_mvgd_1056_lvgd_109035_72,BranchTee_mvgd_1056_lvgd_109035_71,BranchTee_mvgd_1056_lvgd_109035_72,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_71_LVCableDist_mvgd_1056_lvgd_109035_73,BranchTee_mvgd_1056_lvgd_109035_71,BranchTee_mvgd_1056_lvgd_109035_73,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_73_LVCableDist_mvgd_1056_lvgd_109035_74,BranchTee_mvgd_1056_lvgd_109035_73,BranchTee_mvgd_1056_lvgd_109035_74,0.011,0.0009330530181161,0.004939,0.0,0.0997661265159673,1.0,NAYY 4x1x50,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_73_LVCableDist_mvgd_1056_lvgd_109035_75,BranchTee_mvgd_1056_lvgd_109035_73,BranchTee_mvgd_1056_lvgd_109035_75,0.011,0.0008846724912508,0.0018039999999999,0.0,0.2168527611076234,1.0,NAYY 4x1x185,cable
Branch_LVCableDist_mvgd_1056_lvgd_109035_75_LVCableDist_mvgd_1056_lvgd_109035_76,BranchTee_mvgd_1056_lvgd_109035_75,BranchTee_mvgd_1056_lvgd_109035_76,0.011,0.0009365087700351,0.009548,0.0,0.0852168997323887,1.0,NAYY 4x1x35,cable
