,bus,p_set,type,annual_consumption,sector,voltage_level,p,geom
Load_mvgd_1056_lvgd_97253_4,BranchTee_mvgd_1056_lvgd_97253_8,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
Load_mvgd_1056_lvgd_97253_5,BranchTee_mvgd_1056_lvgd_97253_10,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
Load_mvgd_1056_lvgd_97253_6,BranchTee_mvgd_1056_lvgd_97253_12,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
Load_mvgd_1056_lvgd_97253_7,BranchTee_mvgd_1056_lvgd_97253_14,0.0013707506455908,conventional_load,6.413768695446444,residential,lv,,
Load_mvgd_1056_lvgd_97254_1,BranchTee_mvgd_1056_lvgd_97254_2,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_2,BranchTee_mvgd_1056_lvgd_97254_4,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_3,BranchTee_mvgd_1056_lvgd_97254_6,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_4,BranchTee_mvgd_1056_lvgd_97254_8,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_5,BranchTee_mvgd_1056_lvgd_97254_10,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_6,BranchTee_mvgd_1056_lvgd_97254_12,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_7,BranchTee_mvgd_1056_lvgd_97254_14,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_8,BranchTee_mvgd_1056_lvgd_97254_16,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_9,BranchTee_mvgd_1056_lvgd_97254_18,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_10,BranchTee_mvgd_1056_lvgd_97254_20,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
Load_mvgd_1056_lvgd_97254_11,BranchTee_mvgd_1056_lvgd_97254_22,0.0012471285714526,conventional_load,5.835338627422103,residential,lv,,
