,dsm_load_1,dsm_load_43,dsm_load_53,dsm_load_55,dsm_load_76,dsm_load_77,dsm_load_88,dsm_load_109,dsm_load_113,dsm_load_115,dsm_load_121,dsm_load_122,dsm_load_124,dsm_load_127,dsm_load_0,dsm_load_5
2011-07-17 18:00:00,-0.0050533018323286,-0.0050393049496221,-0.0023335225973456,-0.0040043528874479,-0.0047362227558695,-0.006211529066969,-0.0057357498471991,-0.0053832283953541,-0.0037338163528662,-0.0057174827080789,-0.0036373730528594,-0.0083408506125524,-0.0006193855802696,-0.005574940577536,-0.0995795817274381,-0.0159539725938501
2011-07-17 19:00:00,-0.0054552935099873,-0.0054880067330112,-0.0026017916475413,-0.0044647058092433,-0.0052422792513887,-0.0068828125428967,-0.0063290032783545,-0.0059400202362321,-0.0041200081188345,-0.0063747823876925,-0.0040304660255951,-0.0092035518070733,-0.0006905920821962,-0.0061774275736734,-0.1085212626965846,-0.0176262644909186
2011-07-17 20:00:00,-0.0058432958890517,-0.0059131434858211,-0.0028212459091377,-0.0048412919657631,-0.0056046198349009,-0.0073859726122185,-0.0066956576187111,-0.0062841398559626,-0.004358690071211,-0.0069124784645673,-0.0043251085939054,-0.0097367356384518,-0.0007488417024554,-0.0066290212887177,-0.1162627021189,-0.018927760476388
2011-07-17 21:00:00,-0.0060423811753749,-0.0060778034770023,-0.0028557525273496,-0.0049005057382931,-0.0057050385459266,-0.0075267583400863,-0.006793811728966,-0.0063762613758198,-0.0044225857137571,-0.0069970248894296,-0.0044075504865944,-0.009879470031069,-0.0007580007745675,-0.0067553785927834,-0.1204091299698876,-0.019316640977475
2011-07-17 22:00:00,-0.0056183810121178,-0.0056213796405203,-0.0026156169352428,-0.0044884301694831,-0.00529018618646,-0.0069857727314306,-0.006283430830843,-0.0058972486893506,-0.0040903417013142,-0.0064086564300768,-0.0040907578814735,-0.0091372809642248,-0.000694261720474,-0.0062698358883959,-0.1130371875970386,-0.0179176677399914
2011-07-17 23:00:00,-0.0050094934016568,-0.0049960271557128,-0.0022851339982173,-0.0039213174684382,-0.0046205153727302,-0.0061467357832806,-0.0053711619172287,-0.005041048183611,-0.0034964795771618,-0.0055989233338953,-0.003599431132029,-0.0078106717274834,-0.0006065418218317,-0.0055167876328275,-0.1011797834856533,-0.0157925775569528
2011-07-18 00:00:00,-0.0043052190777059,-0.0042555604937447,-0.001886474941736,-0.0032372137251344,-0.0038116067203444,-0.005126617510744,-0.0042863255285797,-0.0040228862680351,-0.0027902807442228,-0.0046221484509592,-0.0030020660267145,-0.0062331171796329,-0.0005007259744475,-0.0046012161704492,-0.0869239206375214,-0.0132195843688986
2011-07-18 01:00:00,-0.0043106990524579,-0.0041979245001546,-0.0018193000649134,-0.0031219408272955,-0.0037458037539247,-0.0050354752718057,-0.0042191343818585,-0.0039598247157391,-0.0027465411445054,-0.0044575598598364,-0.0029486945749645,-0.0061354087139191,-0.0004828957849701,-0.0045194146428855,-0.08623663902017,-0.0129943090183236
2011-07-18 02:00:00,-0.0037851284711938,-0.0036531380858161,-0.0015339425512293,-0.0026322638963005,-0.0031396147535975,-0.0042599771873867,-0.003434640692814,-0.0032235463187823,-0.0022358571985685,-0.0037583908644452,-0.0024945751778888,-0.0049946084975349,-0.0004071535018663,-0.0038233934712839,-0.075327055614885,-0.0110481082024709
2011-07-18 03:00:00,-0.0035574258512083,-0.0034314053573689,-0.0014264383213925,-0.0024477853428682,-0.0029063038496667,-0.0039561505267437,-0.0031465183942916,-0.0029531321305663,-0.0020482974586029,-0.0034949892690046,-0.0023166590969612,-0.004575624909662,-0.0003786187150788,-0.0035507044826799,-0.0706534766755642,-0.010281134618781
