,edisgo_id
729,Charging_Point_LVGrid_97726_home_8
730,Charging_Point_LVGrid_97255_home_7
737,Charging_Point_LVGrid_97729_home_8
739,Charging_Point_LVGrid_97727_home_4
740,Charging_Point_LVGrid_97720_home_2
743,Charging_Point_LVGrid_97253_home_1
748,Charging_Point_LVGrid_99144_home_1
749,Charging_Point_LVGrid_97726_home_9
753,Charging_Point_LVGrid_97726_home_10
754,Charging_Point_LVGrid_97733_home_12
756,Charging_Point_LVGrid_97733_home_13
757,Charging_Point_LVGrid_97733_home_14
758,Charging_Point_LVGrid_97727_home_5
760,Charging_Point_LVGrid_97340_home_6
765,Charging_Point_LVGrid_97255_home_8
766,Charging_Point_LVGrid_102248_home_1
767,Charging_Point_LVGrid_102248_home_2
769,Charging_Point_LVGrid_102248_home_3
770,Charging_Point_LVGrid_102248_home_4
776,Charging_Point_LVGrid_102249_home_1
778,Charging_Point_LVGrid_102249_home_2
780,Charging_Point_LVGrid_102785_home_1
784,Charging_Point_LVGrid_502473_home_1
788,Charging_Point_LVGrid_506736_home_1
797,Charging_Point_LVGrid_102249_home_3
799,Charging_Point_LVGrid_102250_home_1
800,Charging_Point_LVGrid_102319_home_1
801,Charging_Point_LVGrid_102319_home_2
812,Charging_Point_LVGrid_102785_home_2
815,Charging_Point_LVGrid_103093_home_1
829,Charging_Point_LVGrid_102249_home_4
830,Charging_Point_LVGrid_102242_home_1
834,Charging_Point_LVGrid_102242_home_2
837,Charging_Point_LVGrid_102249_home_5
838,Charging_Point_LVGrid_102242_home_3
841,Charging_Point_LVGrid_102243_home_1
842,Charging_Point_LVGrid_102242_home_4
851,Charging_Point_LVGrid_102250_home_2
856,Charging_Point_LVGrid_103068_home_1
863,Charging_Point_LVGrid_103068_home_2
866,Charging_Point_LVGrid_506736_home_2
869,Charging_Point_LVGrid_102243_home_2
870,Charging_Point_LVGrid_102723_home_1
876,Charging_Point_LVGrid_102249_home_6
877,Charging_Point_LVGrid_103068_home_3
878,Charging_Point_LVGrid_102242_home_5
881,Charging_Point_LVGrid_506626_home_1
882,Charging_Point_LVGrid_102319_home_3
885,Charging_Point_LVGrid_103093_home_2
889,Charging_Point_LVGrid_502473_home_2
892,Charging_Point_LVGrid_439680_home_1
898,Charging_Point_LVGrid_506736_home_3
900,Charging_Point_LVGrid_102250_home_3
902,Charging_Point_LVGrid_102723_home_2
909,Charging_Point_LVGrid_103068_home_4
914,Charging_Point_LVGrid_103068_home_5
915,Charging_Point_LVGrid_103068_home_6
918,Charging_Point_LVGrid_102249_home_7
921,Charging_Point_LVGrid_102250_home_4
922,Charging_Point_LVGrid_103093_home_3
923,Charging_Point_LVGrid_502473_home_3
925,Charging_Point_LVGrid_102319_home_4
927,Charging_Point_LVGrid_102319_home_5
929,Charging_Point_LVGrid_102248_home_5
937,Charging_Point_LVGrid_102785_home_3
942,Charging_Point_LVGrid_102248_home_6
944,Charging_Point_LVGrid_102937_home_1
950,Charging_Point_LVGrid_102785_home_4
951,Charging_Point_LVGrid_102248_home_7
962,Charging_Point_LVGrid_103068_home_7
963,Charging_Point_LVGrid_98277_home_1
967,Charging_Point_LVGrid_98280_home_1
969,Charging_Point_LVGrid_98280_home_2
970,Charging_Point_LVGrid_98278_home_1
971,Charging_Point_LVGrid_98280_home_3
972,Charging_Point_LVGrid_98280_home_4
975,Charging_Point_LVGrid_98278_home_2
977,Charging_Point_LVGrid_98279_home_1
982,Charging_Point_LVGrid_98279_home_2
983,Charging_Point_LVGrid_98276_home_1
984,Charging_Point_LVGrid_440438_home_1
986,Charging_Point_LVGrid_98279_home_3
989,Charging_Point_LVGrid_98279_home_4
993,Charging_Point_LVGrid_98280_home_5
994,Charging_Point_LVGrid_440438_home_2
995,Charging_Point_LVGrid_98279_home_5
999,Charging_Point_LVGrid_98279_home_6
1000,Charging_Point_LVGrid_440438_home_3
1001,Charging_Point_LVGrid_440438_home_4
1002,Charging_Point_LVGrid_97905_home_1
1004,Charging_Point_LVGrid_98279_home_7
1005,Charging_Point_LVGrid_109130_home_1
1007,Charging_Point_LVGrid_97905_home_2
1009,Charging_Point_LVGrid_98279_home_8
1010,Charging_Point_LVGrid_109130_home_2
